x,y
0,0
1,1
2.8731,2.67441
5.32684,4.8579
8.25472,7.28186
11.5947,10.1449
15.3046,12.9658
19.3533,16.3219
23.7167,19.7833
28.3752,23.5692
33.3127,27.4242
38.5154,31.403
43.9716,35.2484
49.6708,39.7278
55.604,44.3575
61.763,48.8058
68.1405,53.1348
74.7298,58.2891
81.5249,63.4049
88.5203,69.083
95.7109,73.5787
103.092,79.4352
110.659,84.42
118.408,90.2715
126.335,96.4401
134.437,102.287
142.709,107.704
151.15,114.011
159.756,120.398
168.524,126.146
177.451,132.947
186.536,139.353
195.775,146.509
205.166,152.081
214.706,160.452
224.395,167.235
234.23,174.76
244.208,180.898
254.328,188.194
264.588,195.52
274.987,201.918
285.523,210.172
296.194,216.454
306.998,224.142
317.934,234.281
329.002,242.736
340.198,247.077
351.522,255.709
362.973,263.329
374.55,272.463
386.25,279.075
398.074,288.482
410.019,295.635
422.085,303.554
434.27,311.344
446.574,322.246
458.996,330.681
471.534,339.029
484.187,346.671
496.955,358.526
509.837,368.907
522.831,378.527
535.937,390.147
549.154,400.67
562.481,408.289
575.917,415.709
589.462,426.044
603.115,436.501
616.874,441.802
630.74,456.806
644.711,463.78
658.786,474.862
672.966,486.326
687.249,501.699
701.635,503.659
716.122,512.797
730.711,522.001
745.401,534.29
760.19,545.728
775.079,560.112
790.067,562.191
805.153,572.818
820.337,585.96
835.618,599.434
850.995,605.457
866.468,616.231
882.037,627.725
897.701,638.228
913.459,645.293
929.31,655.791
945.256,662.195
961.294,676.912
977.424,684.88
993.646,688.916
1009.96,719.641
1026.36,728.664
1042.86,733.638
1059.45,751.1
1076.12,747.963
1092.88,766.894
1109.74,778.618
1126.68,785.453
1143.71,798.213
1160.82,807.707
1178.03,816.047
1195.32,827.887
1212.69,838.52
1230.16,856.291
1247.7,860.833
1265.34,878.084
1283.05,883.243
1300.86,903.37
1318.74,907.14
1336.71,914.958
1354.76,940.9
1372.9,952.859
1391.12,965.524
1409.42,972.783
1427.8,967.324
1446.27,969.203
1464.81,1008.09
1483.44,1015.05
1502.15,1032.55
1520.93,1048.91
1539.8,1071.29
1558.75,1076.19
1577.78,1093.33
1596.88,1089.45
1616.07,1104.27
1635.33,1111.37
1654.67,1120.13
1674.09,1142.66
1693.59,1139.12
1713.16,1163.39
1732.81,1170.38
1752.54,1178.91
1772.34,1200.02
1792.22,1223.74
1812.18,1224.57
1832.21,1229.3
1852.32,1268.57
1872.5,1288.48
1892.76,1304.97
1913.09,1339.11
1933.5,1327.98
1953.98,1335.63
1974.54,1362.24
1995.17,1355.8
2015.87,1378.15
2036.64,1401.91
2057.49,1415.83
2078.41,1416.28
2099.41,1443.71
2120.47,1463.1
2141.61,1460.54
2162.82,1467.5
2184.11,1473.72
2205.46,1469.91
2226.88,1498.22
2248.38,1514.99
2269.94,1522.25
2291.58,1553.21
2313.29,1576.51
2335.07,1594.91
2356.91,1555.91
2378.83,1573.09
2400.82,1572.95
2422.87,1604.69
2445,1621.14
2467.19,1604.34
2489.45,1606.69
2511.78,1556.56
2534.18,1655.08
2556.65,1644.82
2579.19,1700.21
2601.79,1716.83
2624.46,1725.3
2647.2,1732.2
2670,1774.64
2692.88,1756.02
2715.82,1798.98
2738.82,1818.15
2761.9,1825.06
2785.04,1845.25
2808.24,1862.55
2831.51,1879.16
2854.85,1923.33
2878.25,1922.48
2901.72,1935.7
2925.25,1991.65
2948.85,1990.26
2972.52,1971.86
2996.25,1976.46
3020.04,1992.63
3043.9,2089.64
3067.82,2192.89
3091.8,2095.56
3115.86,2075.3
3139.97,2065.48
3164.15,2088.74
3188.39,2094.15
3212.69,2181.03
3237.06,2227.51
3261.49,2219.56
3285.99,2223.2
3310.55,2194.52
3335.17,2229.01
3359.85,2229.15
3384.59,2226.86
3409.4,2227.83
3434.27,2295.4
3459.2,2316.46
3484.19,2314.75
3509.25,2384.03
3534.36,2605.54
3559.54,2445.58
3584.78,2501.25
3610.08,2421.78
3635.44,2429.55
3660.86,2459.54
3686.35,2528.54
3711.89,2489.46
3737.49,2434.51
3763.16,2396.32
3788.88,2415.49
3814.67,2462.78
3840.51,2465.8
3866.42,2509.45
3892.38,2483.68
3918.4,2536.89
3944.49,2576.87
3970.63,2581.17
3996.83,2661.07
4023.09,2652.29
4049.41,2649.81
4075.79,2665.81
4102.23,2684.96
4128.72,2770.3
4155.28,2736.15
4181.89,2819.33
4208.56,2810.59
4235.29,2843.17
4262.08,3056.07
4288.92,2892.18
4315.82,3060.53
4342.78,3042.29
4369.8,2910.95
4396.88,3041.29
4424.01,2957.28
4451.2,2960.14
4478.45,3073.91
4505.75,3047.71
4533.11,3077.84
4560.53,3071.25
4588.01,3074.22
4615.54,3089.77
4643.12,3125.11
4670.77,3131.27
4698.47,3195.77
4726.23,3268.89
4754.04,3236.32
4781.91,3323.38
4809.83,3251.45
4837.81,3290.72
4865.85,3426.52
4893.94,3390.56
4922.08,3487.01
4950.29,3501.21
4978.54,3366.69
5006.86,3520.69
5035.22,3547.4
5063.65,3689.96
5092.12,3682.5
5120.66,3652.81
5149.24,3577.27
5177.89,3689.58
5206.58,3584.21
5235.33,3659.6
5264.14,3529.09
5293,3705.09
5321.91,3708.13
5350.88,3910.86
5379.9,3575.68
5408.97,3952.15
5438.1,4045.44
5467.28,4446.08
5496.52,4124.07
5525.81,4136.43
5555.15,4469.95
5584.54,4073.62
5613.99,4165.98
5643.5,3998.14
5673.05,4295.39
5702.66,4189.22
5732.32,4258.46
5762.03,4242.08
5791.8,4309.25
5821.62,4487.31
5851.49,4664.15
5881.41,4473.48
5911.39,4393.48
5941.42,4436.09
5971.5,4301.71
6001.63,4471.18
6031.82,4580.99
6062.05,4415.74
6092.34,4586.56
6122.68,4608.34
6153.08,5261.67
6183.52,4638.33
6214.02,4595.73
6244.56,4720.89
6275.16,4534.11
6305.81,4352.78
6336.51,4153.28
6367.26,4330.31
6398.06,4148.33
6428.92,3884.62
6459.82,4078.36
6490.78,4091.2
6521.79,4368.1
6552.84,4126.38
6583.95,4097.44
6615.11,4195.27
6646.32,3881.09
6677.58,3279.99
6708.88,4110.13
6740.24,4135.16
6771.65,4122.71
6803.11,3921.68
6834.62,4174.66
6866.18,3937.39
6897.79,4208.45
6929.45,4027.39
6961.16,4178.31
6992.92,4395.07
7024.73,4198.19
7056.59,4394.26
7088.49,4303.53
7120.45,4059.96
7152.46,4524.02
7184.51,3983.36
7216.62,4287.04
7248.77,4011.03
7280.97,4255.67
7313.22,4496.11
7345.52,4337.24
7377.87,4575.14
7410.27,4335.97
7442.72,4537.46
7475.21,4708.97
7507.76,4768.08
7540.35,4098.14
7572.99,4886.27
7605.68,4896.98
7638.42,5159.5
7671.2,5400.73
7704.03,5379.59
7736.92,5452.89
7769.85,5454.1
7802.82,5449.91
7835.85,5593.94
7868.92,5601.28
7902.05,5505.58
7935.21,5587.51
7968.43,5790
8001.7,5826.77
8035.01,6012.25
8068.37,6006.15
8101.77,6197.14
8135.23,6360.05
8168.73,6301.06
8202.28,6427.74
8235.87,6558.74
8269.52,6820.07
8303.21,6140.19
8336.94,6173.82
8370.73,6122.67
8404.56,6097.73
8438.44,6426.01
8472.36,6351.49
8506.33,6489.8
8540.35,6682.33
8574.41,6766.8
8608.52,6431.8
8642.68,6953.89
8676.88,6645.51
8711.13,6601.2
8745.43,6270.98
8779.77,6514.2
8814.16,7038.31
8848.6,6664.6
8883.08,6696.4
8917.6,6785.72
8952.18,6676.04
8986.79,6687.29
9021.46,7196.32
9056.17,7479.67
9090.92,6978.24
9125.73,7178.58
9160.57,6977.6
9195.47,6785.78
9230.4,6227.49
9265.39,6460.67
9300.42,6700.16
9335.49,6968.31
9370.61,6680.97
9405.78,6935.72
9440.99,6903.37
9476.24,6904.3
9511.54,6801.37
9546.89,6929.35
9582.28,7017.63
9617.71,7517.17
9653.19,7667.38
9688.72,7534.84
9724.29,7802.47
9759.9,7339.24
9795.56,7219.09
9831.26,7098.3
9867.01,7176.1
9902.81,8166.68
9938.64,8848.11
9974.52,7686.66
10010.5,7008.03
10046.4,6992.21
10082.4,7214.08
10118.5,6450.92
10154.6,6339.3
10190.7,6596.89
10226.9,7033.36
10263.2,7481.87
10299.4,7885.7
10335.8,7556.78
10372.1,7681.39
10408.5,8136.99
10445,7801.89
10481.5,7650.71
10518,8055.45
10554.6,7565.73
10591.3,7477.36
10627.9,7726.87
10664.6,7830.47
10701.4,8243.08
10738.2,7997.27
10775.1,7948.02
10811.9,8141.17
10848.9,8598.3
10885.9,7141.03
10922.9,8064.03
