x,y
0,0
1,0.999295
2.00209,2.00265
3.00496,3.0018
4.00835,3.99815
5.01213,5.01024
6.0162,6.01651
7.02053,7.00701
8.02508,8.01847
9.02981,9.00428
10.0347,10.0222
11.0398,11.0291
12.045,12.0115
13.0503,13.0034
14.0557,14.0191
15.0613,15.0278
16.0669,16.0141
17.0726,16.996
18.0785,17.9975
19.0844,19.0287
20.0904,20.0134
21.0964,21.0259
22.1026,22.0183
23.1088,23.0118
24.1151,24.0154
25.1214,24.9817
26.1278,25.9833
27.1343,26.9569
28.1408,28.0061
29.1473,28.9929
30.154,30.0206
31.1606,31.036
32.1674,32.0432
33.1741,33.0412
34.1809,34.0617
35.1878,35.0891
36.1947,36.0913
37.2016,37.1148
38.2086,38.0885
39.2156,39.0861
40.2227,40.1047
41.2298,41.1021
42.2369,42.0913
43.2441,43.0735
44.2513,44.1039
45.2586,45.1605
46.2658,46.1942
47.2731,47.1405
48.2805,48.1691
49.2879,49.161
50.2953,50.1138
51.3027,51.0919
52.3102,52.1177
53.3177,53.1235
54.3252,54.1085
55.3327,55.1254
56.3403,56.1686
57.3479,57.1453
58.3555,58.1138
59.3632,59.1171
60.3709,60.123
61.3786,61.1809
62.3863,62.1755
63.3941,63.1788
64.4019,64.2332
65.4097,65.2417
66.4175,66.2362
67.4254,67.2277
68.4332,68.3377
69.4411,69.4006
70.449,70.4127
71.457,71.4089
72.4649,72.3935
73.4729,73.4048
74.4809,74.4708
75.489,75.4642
76.497,76.5033
77.5051,77.4758
78.5131,78.4953
79.5213,79.4736
80.5294,80.4807
81.5375,81.505
82.5457,82.4378
83.5539,83.4646
84.5621,84.4525
85.5703,85.4967
86.5785,86.4648
87.5868,87.4113
88.595,88.4227
89.6033,89.4278
90.6116,90.5009
91.6199,91.389
92.6283,92.4634
93.6366,93.4656
94.645,94.4569
95.6534,95.4474
96.6618,96.4643
97.6702,97.45
98.6786,98.4594
99.6871,99.4456
100.696,100.448
101.704,101.48
102.713,102.407
103.721,103.369
104.73,104.453
105.738,105.48
106.747,106.493
107.755,107.517
108.764,108.571
109.772,109.534
110.781,110.572
111.79,111.582
112.798,112.605
113.807,113.461
114.816,114.543
115.824,115.453
116.833,116.476
117.842,117.465
118.85,118.465
119.859,119.594
120.868,120.707
121.877,121.711
122.885,122.627
123.894,123.665
124.903,124.623
125.912,125.69
126.921,126.623
127.929,127.679
128.938,128.779
129.947,129.808
130.956,130.787
131.965,131.763
132.974,132.755
133.983,133.776
134.991,134.747
136,135.826
137.009,136.756
138.018,137.707
139.027,138.743
140.036,139.782
141.045,140.838
142.054,141.827
143.063,142.716
144.072,143.764
145.081,144.769
146.09,145.712
147.099,146.688
148.108,147.625
149.117,148.677
150.126,149.625
151.136,150.673
152.145,151.673
153.154,152.617
154.163,153.567
155.172,154.522
156.181,155.623
157.19,156.565
158.199,157.623
159.209,158.608
160.218,159.647
161.227,160.653
162.236,161.626
163.245,162.606
164.254,163.609
165.264,164.609
166.273,165.564
167.282,166.554
168.291,167.545
169.301,168.553
170.31,169.603
171.319,170.677
172.328,171.816
173.338,172.775
174.347,173.788
175.356,174.753
176.366,175.695
177.375,176.684
178.384,177.692
179.394,178.806
180.403,179.925
181.412,180.992
182.422,181.853
183.431,182.94
184.441,183.98
185.45,184.954
186.459,185.842
187.469,186.858
188.478,187.765
189.488,188.783
190.497,189.827
191.506,190.957
192.516,191.931
193.525,192.892
194.535,194.044
195.544,194.943
196.554,195.777
197.563,196.754
198.573,197.726
199.582,198.691
200.592,199.7
201.601,200.646
