x,y
0,0
1,1
1.99882,1.99799
2.9972,2.99326
3.99528,3.98412
4.99316,4.99256
5.99086,5.97895
6.98842,6.94966
7.98586,7.94773
8.98319,8.96211
9.98043,9.96776
10.9776,10.9558
11.9747,11.958
12.9717,12.9739
13.9686,14.0057
14.9655,14.9794
15.9623,15.9846
16.9591,16.997
17.9558,17.9909
18.9525,19.0382
19.9491,20.0294
20.9457,21.0338
21.9422,22.0628
22.9387,23.0968
23.9352,24.076
24.9316,25.0918
25.928,26.0975
26.9244,27.0748
27.9207,28.044
28.917,29.0442
29.9133,30.0863
30.9096,31.0704
31.9058,32.116
32.902,33.128
33.8981,34.1116
34.8943,35.0925
35.8904,36.0929
36.8865,37.089
37.8826,38.0903
38.8786,39.0812
39.8747,40.0673
40.8707,41.0692
41.8666,42.0737
42.8626,43.0548
43.8586,43.9946
44.8545,45.0152
45.8504,46.0397
46.8463,47.0357
47.8422,48.0136
48.838,49.0121
49.8339,50.0151
50.8297,51.0373
51.8255,52.06
52.8213,53.0585
53.817,54.1255
54.8128,55.0824
55.8085,56.1063
56.8043,57.0877
57.8,58.1138
58.7957,59.0663
59.7913,60.0256
60.787,61.0191
61.7827,62.0417
62.7783,63.0074
63.7739,64.0254
64.7695,65.044
65.7651,66.019
66.7607,66.9963
67.7563,68.0102
68.7519,68.9978
69.7474,69.9719
70.743,71.0029
71.7385,72.0134
72.734,73.0144
73.7295,74.0282
74.725,75.0095
75.7205,76.0021
76.7159,76.9426
77.7114,77.939
78.7068,78.9374
79.7023,79.9816
80.6977,80.9226
81.6931,81.8159
82.6885,82.8329
83.6839,83.8444
84.6793,84.8821
85.6747,85.9089
86.67,86.9347
87.6654,87.924
88.6607,88.8665
89.6561,89.9612
90.6514,90.9266
91.6467,91.9516
92.642,92.9169
93.6373,93.8201
94.6326,94.7587
95.6279,95.7137
96.6232,96.6348
97.6184,97.6264
98.6137,98.6837
99.6089,99.7027
100.604,100.648
101.599,101.659
102.595,102.58
103.59,103.546
104.585,104.53
105.58,105.501
106.575,106.525
107.571,107.524
108.566,108.526
109.561,109.507
110.556,110.53
111.551,111.523
112.546,112.51
113.542,113.47
114.537,114.461
115.532,115.395
116.527,116.439
117.522,117.447
118.517,118.437
119.512,119.381
120.507,120.347
121.502,121.328
122.497,122.298
123.492,123.386
124.488,124.459
125.483,125.476
126.478,126.386
127.473,127.429
128.468,128.506
129.463,129.66
130.458,130.658
131.453,131.64
132.448,132.653
133.443,133.716
134.438,134.647
135.433,135.669
136.428,136.712
137.423,137.698
138.418,138.715
139.413,139.666
140.408,140.584
141.402,141.561
142.397,142.496
143.392,143.54
144.387,144.537
145.382,145.625
146.377,146.619
147.372,147.645
148.367,148.673
149.362,149.73
150.357,150.68
151.352,151.702
152.347,152.762
153.341,153.806
154.336,154.799
155.331,155.874
156.326,156.843
157.321,157.843
158.316,158.914
159.311,159.791
160.305,160.836
161.3,161.895
162.295,162.977
163.29,163.971
164.285,165.006
165.28,166.001
166.274,167.023
167.269,168.063
168.264,169.086
169.259,169.983
170.254,170.974
171.248,172.027
172.243,172.999
173.238,174.01
174.233,175.001
175.227,176.04
176.222,177.03
177.217,178.088
178.212,179.02
179.206,179.987
180.201,180.954
181.196,181.937
182.191,182.904
183.185,183.912
184.18,184.979
185.175,185.882
186.17,186.804
187.164,187.834
188.159,188.807
189.154,189.782
190.148,190.673
191.143,191.67
192.138,192.603
193.132,193.627
194.127,194.583
195.122,195.473
196.116,196.425
197.111,197.456
198.106,198.436
199.1,199.396
