x,y
0,0
1,1
2.311,2.39827
3.77232,3.87904
5.34071,5.55166
6.99385,7.22729
8.71782,9.05751
10.503,10.8872
12.3424,12.8353
14.2304,14.7678
16.1628,16.8036
18.1359,18.8359
20.1469,20.9508
22.1931,23.0503
24.2725,25.2399
26.383,27.4201
28.5232,29.6563
30.6914,31.8766
32.8864,34.1664
35.107,36.4535
37.3521,38.7595
39.6208,41.0783
41.9121,43.4163
44.2252,45.7811
46.5594,48.1901
48.9139,50.5699
51.2882,52.9791
53.6816,55.4121
56.0936,57.9329
58.5236,60.3913
60.9711,62.85
63.4358,65.3712
65.917,67.9054
68.4145,70.437
70.9278,73.0599
73.4566,75.6371
76.0004,78.2726
78.5591,80.859
81.1322,83.5313
83.7195,86.184
86.3207,88.9273
88.9354,91.5705
91.5635,94.3055
94.2047,97.0744
96.8587,99.7949
99.5253,102.536
102.204,105.391
104.895,108.251
107.599,111.003
110.313,113.61
113.04,116.543
115.778,119.261
118.527,122.293
121.287,125.117
124.058,127.915
126.84,130.539
129.632,133.373
132.435,136.113
135.248,138.807
138.071,141.597
140.904,144.515
143.747,147.218
146.6,150.066
149.462,153.097
152.334,156.219
155.215,159.153
158.106,162.057
161.005,164.997
163.914,167.972
166.832,170.623
169.758,173.51
172.693,176.439
175.637,179.315
178.589,182.146
181.55,185.221
184.519,188.27
187.496,191.577
190.482,194.834
193.476,197.497
196.477,200.906
199.487,204.33
202.504,207.325
205.53,210.338
208.562,213.256
211.603,216.19
214.651,219.213
217.707,222.066
220.77,225.569
223.84,229.196
226.918,231.967
230.003,235.771
233.095,237.76
236.194,240.097
239.3,242.91
242.413,246.017
245.533,250.126
248.66,253.985
251.794,258.392
254.934,261.441
258.081,265.617
261.235,268.062
264.395,271.144
267.562,273.966
270.736,276.726
273.915,280.468
277.102,285.188
280.294,286.936
283.493,290.764
286.698,295.99
289.909,298.146
293.127,302.165
296.35,306.662
299.58,309.761
302.815,313.725
306.057,314.619
309.304,318.436
312.558,319.244
315.817,323.807
319.082,329.387
322.353,334.552
325.629,337.355
328.911,339.793
332.199,344.809
335.493,346.819
338.792,351.789
342.097,354.751
345.407,357.554
348.722,361.677
352.044,364.792
355.37,368.829
358.702,373.397
362.039,376.944
365.382,380.044
368.73,380.649
372.083,379.603
375.441,387.012
378.805,390.232
382.173,397.047
385.547,394.829
388.926,392.326
392.31,391.968
395.699,394.081
399.093,396.027
402.492,405.199
405.896,411.558
409.305,426.756
412.719,434.012
416.138,436.823
419.561,438.027
422.99,445.642
426.423,440.394
429.861,438.619
433.304,449.508
436.751,459.732
440.203,468.583
443.66,481.737
447.122,443.08
450.588,447.143
454.058,473.263
457.534,485.176
461.014,493.231
464.498,497.915
467.987,487.714
471.48,500.154
474.978,497.375
478.481,500.818
481.987,498.698
485.498,518.405
489.014,504.606
492.534,502.935
496.058,516
499.587,524.077
503.12,502.667
506.657,500.833
510.198,497.833
513.744,491.455
517.294,454.9
520.848,456.4
524.406,505.867
527.969,501.667
531.536,497.833
535.106,511.333
538.681,519.167
542.26,526.333
545.843,543.333
549.43,538
553.022,529.8
556.617,536.5
560.216,580.8
563.819,569.4
567.426,578
571.038,575.4
574.653,567.2
578.272,554.2
581.895,548
585.522,546.6
589.152,544
592.787,473.5
596.425,323.333
600.068,314.333
603.714,308
