x,y
0,0
1,1
2,2.00085
3,2.99911
4,3.99917
5,4.99655
6,5.99451
7,6.99329
8,7.994
9,8.99217
10,9.99489
11,10.9995
12,11.9999
13,12.9951
14,13.9961
15,14.9978
16,15.9919
17,16.9933
18,17.9865
19,18.9961
20,19.996
21,20.9938
22,21.9942
23,22.9976
24,23.9955
25,25.0017
26,25.9896
27,26.9832
28,27.999
29,28.9896
30,30.0003
31,30.9926
32,31.99
33,32.9954
34,33.9994
35,35.0085
36,36.0069
37,37.0009
38,38.0037
39,39.0116
40,40.011
41,41.0002
42,42.0017
43,42.9977
44,43.9915
45,45.0027
46,46.0148
47,47.0131
48,47.9942
49,48.9825
50,49.9803
51,50.9865
52,51.9758
53,52.981
54,53.9812
55,54.9868
56,55.9911
57,57.001
58,58.0169
59,59.0171
60,60.009
61,61.0146
62,62.0273
63,63.0307
64,64.0225
65,65.0248
66,66.0328
67,67.0298
68,68.0302
69,69.0293
70,70.0468
71,71.0432
72,72.0444
73,73.0374
74,74.0385
75,75.0397
76,76.0271
77,77.0199
78,78.0178
79,79.0092
80,80.0065
81,81.0076
82,82.0047
83,82.9911
84,84.0007
85,84.9878
86,86.0011
87,86.9917
88,87.9958
89,89.0178
90,90.0246
91,91.0389
92,92.0442
93,93.0466
94,94.0431
95,95.0338
96,96.0257
97,97.0191
98,98.0238
99,99.0169
100,99.9782
101,100.97
102,101.972
103,102.985
104,103.989
105,105.003
106,106.02
107,107.017
108,108.026
109,109.043
110,110.058
111,111.052
112,112.041
113,113.037
114,114.029
115,115.035
116,116.035
117,117.042
118,118.037
119,119.041
120,120.05
121,121.067
122,122.061
123,123.065
124,124.069
125,125.045
126,126.075
127,127.074
128,128.07
129,129.062
130,130.05
131,131.05
132,132.066
133,133.073
134,134.106
135,135.103
136,136.109
137,137.116
138,138.102
139,139.132
140,140.134
141,141.122
142,142.108
143,143.117
144,144.109
145,145.123
146,146.123
147,147.112
148,148.115
149,149.108
150,150.1
151,151.108
152,152.12
153,153.128
154,154.118
155,155.128
156,156.12
157,157.111
158,158.106
159,159.081
160,160.078
161,161.087
162,162.072
163,163.066
164,164.068
165,165.056
166,166.09
167,167.127
168,168.107
169,169.117
170,170.121
171,171.106
172,172.078
173,173.089
174,174.09
175,175.057
176,176.063
177,177.067
178,178.058
179,179.083
180,180.119
181,181.127
182,182.146
183,183.158
184,184.163
185,185.146
186,186.149
187,187.176
188,188.183
189,189.182
190,190.173
191,191.2
192,192.206
193,193.21
194,194.217
195,195.216
196,196.211
197,197.206
198,198.182
199,199.182
200,200.188
