x,y
0,0
1,1
2.02741,2.27962
3.06542,3.6321
4.11038,5.05825
5.16054,6.4871
6.21486,7.9678
7.27264,9.49639
8.33342,11.1075
9.3968,12.7234
10.4625,14.3375
11.5303,16.0245
12.6,17.7571
13.6715,19.4957
14.7446,21.036
15.8192,22.7513
16.8952,24.4474
17.9726,26.0982
19.0511,27.6684
20.1309,29.5656
21.2118,31.07
22.2937,32.5793
23.3767,33.9761
24.4606,35.7023
25.5454,37.2456
26.6312,38.9033
27.7177,40.6975
28.8051,42.1783
29.8933,43.9061
30.9823,45.6454
32.072,47.2387
33.1624,49.1512
34.2535,50.6421
35.3453,52.5764
36.4377,54.6094
37.5308,56.5865
38.6244,57.9827
39.7187,59.726
40.8135,60.9857
41.9089,62.7798
43.0049,64.7165
44.1014,65.8254
45.1984,67.7061
46.296,69.0403
47.394,70.9482
48.4925,72.5415
49.5916,74.1455
50.691,75.8937
51.791,77.7848
52.8914,79.5759
53.9922,81.8634
55.0935,83.8677
56.1951,84.9373
57.2972,86.9322
58.3998,88.8403
59.5027,90.7076
60.606,92.5957
61.7097,93.8267
62.8137,95.5827
63.9182,97.3019
65.023,98.6563
66.1282,101.083
67.2337,103.795
68.3396,105.667
69.4458,107.302
70.5524,109.477
71.6593,110.424
72.7665,112.932
73.8741,113.949
74.9819,115.964
76.0901,117.133
77.1986,119.252
78.3074,120.791
79.4166,122.975
80.526,125.438
81.6357,126.993
82.7457,128.637
83.8559,131.325
84.9665,132.633
86.0773,133.409
87.1885,134.57
88.2999,137.166
89.4115,139.453
90.5235,141.357
91.6356,144.607
92.7481,146.788
93.8608,148.021
94.9738,150.531
96.087,151.988
97.2004,152.685
98.3141,153.716
99.4281,155.391
100.542,157.168
101.657,159.967
102.771,160.636
103.886,162.434
105.001,163.698
106.117,166.062
107.232,165.278
108.348,167.276
109.464,168.02
110.58,170.898
111.697,172.906
112.814,174.268
113.93,177.536
115.048,176.769
116.165,179.845
117.282,180.646
118.4,182.14
119.518,182.153
120.636,183.213
121.754,185.776
122.873,186.679
123.992,188.498
125.111,189.187
126.23,190.071
127.349,191.421
128.469,193.94
129.588,194.932
130.708,196.578
131.828,198.508
132.948,200.952
134.069,203.773
135.189,205.347
136.31,206.577
137.431,208.01
138.552,209.823
139.673,211.025
140.795,211.024
141.917,212.458
143.038,213.02
144.16,215.813
145.283,216.295
146.405,218.094
147.527,219.384
148.65,222.252
149.773,223.99
150.896,226.366
152.019,226.242
153.142,228.917
154.266,228.782
155.389,230.657
156.513,232.363
157.637,234.697
158.761,236.11
159.885,238.424
161.01,240.907
162.134,243.066
163.259,246.372
164.384,247.99
165.509,249.503
166.634,252.206
167.759,254.66
168.885,255.41
170.01,258.319
171.136,260.393
172.262,261.624
173.388,264.352
174.514,262.796
175.64,265.496
176.767,269.695
177.893,270.567
179.02,274.767
180.147,277.885
181.274,279.947
182.401,281.69
183.528,281.843
184.655,282.493
185.783,287.133
186.91,285.326
188.038,285.559
189.166,289.694
190.294,292.977
191.422,291.131
192.551,294.633
193.679,297.406
194.807,297.319
195.936,299.449
197.065,306.224
198.194,308.367
199.323,309.012
200.452,307.847
201.581,307.633
202.711,308.503
203.84,312.048
204.97,317.426
206.1,316.727
207.229,323.556
208.359,325.468
209.49,325.428
210.62,328.031
211.75,326.507
212.881,324.425
214.011,328.361
215.142,323.969
216.273,326.798
217.404,329.212
218.535,337.65
219.666,340.188
220.797,341.431
221.928,338.055
223.06,340.102
224.192,342.661
225.323,342.655
226.455,342.839
227.587,343.666
228.719,344.135
229.851,349.973
230.983,349.991
232.116,353.558
233.248,358.365
234.381,355.61
235.513,359.308
236.646,364.133
237.779,371.132
238.912,375.045
240.045,374.558
241.178,375.605
242.312,376.501
243.445,378.866
244.579,380.73
245.712,373.812
246.846,379.852
247.98,389.236
249.114,391.597
250.248,392.182
251.382,385.645
252.516,383.389
253.65,383.779
254.785,380.935
255.919,385.72
257.054,388.617
258.188,387.194
259.323,384.747
260.458,386.184
261.593,388.949
262.728,386.444
263.863,386.24
264.998,393.3
266.134,400.017
267.269,401.004
268.405,406.554
269.54,400.918
270.676,404.502
271.812,403.672
272.948,404.197
274.084,406.832
275.22,408.832
276.356,418.198
277.492,427.664
278.629,420.656
279.765,425.538
280.902,430.007
282.038,432.537
283.175,422.231
284.312,424.148
285.449,423.059
286.586,429.034
287.723,433.152
288.86,431.192
289.997,433.653
291.134,441.456
292.272,448.415
293.409,451.03
294.547,460.74
295.685,456.602
296.822,457.526
297.96,458.498
299.098,463.642
300.236,464.713
301.374,465.958
302.512,467.792
303.651,470.114
304.789,473.272
305.927,469.627
307.066,464.639
308.204,469.441
309.343,482.623
310.482,477.792
311.621,466.955
312.759,476.747
313.898,471.887
315.037,474.574
316.177,478.045
317.316,475.147
318.455,479.132
319.594,466.201
320.734,465.452
321.873,472.124
323.013,482.827
324.153,488.019
325.292,491.06
326.432,493.811
327.572,492.547
328.712,494.515
329.852,502.365
330.992,500.608
332.133,498.626
333.273,489.96
334.413,492.002
335.554,502.621
336.694,512.072
337.835,503.253
338.975,505.549
340.116,512.702
341.257,513.225
342.398,528.695
343.539,538.355
344.68,542.425
345.821,544.762
346.962,546.144
348.103,563.287
349.245,554.341
350.386,552.867
351.528,546.969
352.669,550.139
353.811,543.7
354.952,555.878
356.094,561.884
357.236,555.52
358.378,545.67
359.52,549.9
360.662,553.736
361.804,550.095
362.946,558.276
364.088,566.904
365.231,572.223
366.373,571.452
367.515,572.627
368.658,570.647
369.8,575.905
370.943,577.58
372.086,577.048
373.229,566.326
374.371,569.391
375.514,574.357
376.657,572.437
377.8,583.782
378.944,581.411
380.087,570.78
381.23,569.721
382.373,564.362
383.517,558.669
384.66,561.338
385.804,573.784
386.947,569.435
388.091,579.63
389.235,570.136
390.378,570.532
391.522,577.51
392.666,576.027
393.81,575.736
394.954,581.721
396.098,581.673
397.242,586.321
398.387,602.071
399.531,610.567
400.675,602.308
401.82,607.954
402.964,605.781
404.109,608.314
405.253,615.842
406.398,609.389
407.543,609.304
408.687,611.653
409.832,603.474
410.977,611.719
412.122,607.747
413.267,603.193
414.412,603.575
415.557,605.89
416.703,603.895
417.848,614.519
418.993,615.11
420.139,619.945
421.284,625.105
422.429,630.613
423.575,627.183
424.721,618.431
425.866,609.558
427.012,632.378
428.158,637.568
429.304,642.57
430.45,656.594
431.596,664.939
432.742,657.215
433.888,685.158
435.034,689.685
436.18,684.23
437.327,674.244
438.473,669.414
439.619,654.714
440.766,670.364
441.912,668.216
443.059,678.52
444.205,692.305
445.352,688.721
446.499,692.151
447.646,689.238
448.792,697.475
449.939,696.329
451.086,690.395
452.233,690.53
453.38,688.029
454.528,690.026
455.675,682.48
456.822,677.212
457.969,691.689
459.117,691.527
460.264,698.404
461.412,711.463
462.559,703.677
463.707,713.903
464.854,716.502
466.002,703.168
467.15,712.5
468.297,705.863
469.445,702.264
470.593,693.079
471.741,697.5
472.889,676.24
474.037,672.15
475.185,671.586
476.334,671.332
477.482,673.107
478.63,656.924
479.778,652.066
480.927,680.16
482.075,668.195
483.224,680.434
484.372,672.822
485.521,666.911
486.669,671.284
487.818,661.397
488.967,674.918
490.116,680.963
491.265,670.245
492.413,684.612
493.562,685.358
494.711,698.065
495.86,703.178
497.01,726.844
498.159,720.68
499.308,706.74
500.457,698.251
501.607,697.788
502.756,705.217
503.905,708.096
505.055,733.556
506.204,743.237
507.354,741.009
508.503,755.573
509.653,752.661
510.803,745.777
511.953,743.037
513.102,753.244
514.252,753.359
515.402,760.404
516.552,742.627
517.702,762.545
518.852,765.919
520.002,746.931
521.153,769.686
522.303,772.273
523.453,764.052
524.603,759.039
525.754,764.104
526.904,780.912
528.055,786.814
529.205,786.405
530.356,790.08
531.506,772.136
532.657,790.979
533.808,780.191
534.958,772.377
536.109,780.749
537.26,771.75
538.411,772.975
539.562,772.451
540.713,760.324
541.864,764.131
543.015,751.026
544.166,764.785
545.317,760.021
546.468,768.976
547.62,773.702
548.771,790.598
549.922,794.704
551.074,807.599
552.225,808.684
553.377,815.438
554.528,808.039
555.68,802.325
556.831,802.14
557.983,798.33
559.135,789.672
560.286,798.279
561.438,801.912
562.59,800.012
563.742,798.09
