x,y
-inf,-inf
0,0
0.693147,0.983729
1.09861,1.58061
1.38629,1.98539
1.60944,2.31697
1.79176,2.56232
1.94591,2.79251
2.07944,2.98484
2.19722,3.15994
2.30259,3.31143
2.3979,3.4469
2.48491,3.56242
2.56495,3.68205
2.63906,3.79228
2.70805,3.88785
2.77259,3.97283
2.83321,4.06542
2.89037,4.14954
2.94444,4.23531
2.99573,4.29836
3.04452,4.37494
3.09104,4.4358
3.13549,4.50282
3.17805,4.56892
3.21888,4.62778
3.2581,4.67939
3.29584,4.73629
3.3322,4.79081
3.3673,4.83744
3.4012,4.88995
3.43399,4.93701
3.46574,4.98709
3.49651,5.02441
3.52636,5.078
3.55535,5.1194
3.58352,5.16342
3.61092,5.19794
3.63759,5.23748
3.66356,5.27566
3.68888,5.30786
3.71357,5.34793
3.73767,5.37738
3.7612,5.41228
3.78419,5.45652
3.80666,5.49197
3.82864,5.5097
3.85015,5.54404
3.8712,5.5734
3.89182,5.6075
3.91202,5.63148
3.93183,5.66463
3.95124,5.68912
3.97029,5.71556
3.98898,5.7409
4.00733,5.77532
4.02535,5.80116
4.04305,5.82608
4.06044,5.84838
4.07754,5.882
4.09434,5.91054
4.11087,5.93629
4.12713,5.96652
4.14313,5.99314
4.15888,6.01198
4.17439,6.02999
4.18965,6.05454
4.20469,6.07879
4.21951,6.09086
4.23411,6.12426
4.2485,6.13941
4.26268,6.16302
4.27667,6.18688
4.29046,6.218
4.30407,6.2219
4.31749,6.23988
4.33073,6.25767
4.34381,6.28094
4.35671,6.30212
4.36945,6.32814
4.38203,6.33184
4.39445,6.35057
4.40672,6.37325
4.41884,6.39599
4.43082,6.40598
4.44265,6.42362
4.45435,6.4421
4.46591,6.4587
4.47734,6.4697
4.48864,6.48584
4.49981,6.49556
4.51086,6.51754
4.52179,6.52924
4.5326,6.53512
4.54329,6.57875
4.55388,6.59121
4.56435,6.59802
4.57471,6.62154
4.58497,6.61735
4.59512,6.64235
4.60517,6.65752
4.61512,6.66626
4.62497,6.68238
4.63473,6.6942
4.64439,6.70447
4.65396,6.71888
4.66344,6.73164
4.67283,6.75261
4.68213,6.7579
4.69135,6.77774
4.70048,6.7836
4.70953,6.80613
4.7185,6.8103
4.72739,6.81888
4.7362,6.84684
4.74493,6.85947
4.75359,6.87267
4.76217,6.88016
4.77068,6.87453
4.77912,6.87647
4.78749,6.91581
4.79579,6.92269
4.80402,6.93979
4.81218,6.95551
4.82028,6.97662
4.82831,6.98118
4.83628,6.99698
4.84419,6.99343
4.85203,7.00694
4.85981,7.01335
4.86753,7.0212
4.8752,7.04111
4.8828,7.03801
4.89035,7.05909
4.89784,7.06509
4.90527,7.07234
4.91265,7.09009
4.91998,7.10967
4.92725,7.11034
4.93447,7.1142
4.94164,7.14565
4.94876,7.16121
4.95583,7.17394
4.96284,7.19976
