x,y
-inf,-inf
0,-0.000705386
0.693147,0.69447
1.09861,1.09921
1.38629,1.38583
1.60944,1.61148
1.79176,1.79451
1.94591,1.94691
2.07944,2.08175
2.19722,2.1977
2.30259,2.30481
2.3979,2.40054
2.48491,2.48587
2.56495,2.56521
2.63906,2.64042
2.70805,2.7099
2.77259,2.77347
2.83321,2.83298
2.89037,2.89023
2.94444,2.94595
2.99573,2.9964
3.04452,3.04576
3.09104,3.09187
3.13549,3.13601
3.17805,3.17869
3.21888,3.21814
3.2581,3.25746
3.29584,3.29424
3.3322,3.33242
3.3673,3.36705
3.4012,3.40188
3.43399,3.43515
3.46574,3.46708
3.49651,3.49776
3.52636,3.52817
3.55535,3.55789
3.58352,3.58605
3.61092,3.61402
3.63759,3.63991
3.66356,3.66577
3.68888,3.69149
3.71357,3.71606
3.73767,3.73984
3.7612,3.76291
3.78419,3.78655
3.80666,3.81022
3.82864,3.83285
3.85015,3.85313
3.8712,3.87472
3.89182,3.8951
3.91202,3.9143
3.93183,3.93363
3.95124,3.95351
3.97029,3.97262
3.98898,3.99099
4.00733,4.00961
4.02535,4.02836
4.04305,4.0456
4.06044,4.0624
4.07754,4.07952
4.09434,4.09639
4.11087,4.11383
4.12713,4.12996
4.14313,4.14597
4.15888,4.16252
4.17439,4.1781
4.18965,4.19323
4.20469,4.20809
4.21951,4.22446
4.23411,4.2399
4.2485,4.25437
4.26268,4.26842
4.27667,4.28212
4.29046,4.29599
4.30407,4.31041
4.31749,4.32366
4.33073,4.33733
4.34381,4.34997
4.35671,4.36304
4.36945,4.37542
4.38203,4.38802
4.39445,4.40066
4.40672,4.41204
4.41884,4.42442
4.43082,4.43619
4.44265,4.44848
4.45435,4.45974
4.46591,4.47062
4.47734,4.48213
4.48864,4.49343
4.49981,4.50536
4.51086,4.51512
4.52179,4.52681
4.5326,4.53759
4.54329,4.54814
4.55388,4.55858
4.56435,4.56917
4.57471,4.57934
4.58497,4.58964
4.59512,4.59961
4.60517,4.60964
4.61512,4.61986
4.62497,4.62896
4.63473,4.63831
4.64439,4.64874
4.65396,4.65852
4.66344,4.66808
4.67283,4.67765
4.68213,4.6874
4.69135,4.69623
4.70048,4.70567
4.70953,4.71476
4.7185,4.72389
4.72739,4.73146
4.7362,4.74095
4.74493,4.74887
4.75359,4.75768
4.76217,4.76614
4.77068,4.77462
4.77912,4.7841
4.78749,4.79337
4.79579,4.80165
4.80402,4.80915
4.81218,4.81757
4.82028,4.82529
4.82831,4.83382
4.83628,4.84122
4.84419,4.84952
4.85203,4.8581
4.85981,4.86605
4.86753,4.87357
4.8752,4.88101
4.8828,4.8885
4.89035,4.89617
4.89784,4.9034
4.90527,4.91138
4.91265,4.9182
4.91998,4.92513
4.92725,4.93262
4.93447,4.94009
4.94164,4.94761
4.94876,4.95461
4.95583,4.96086
4.96284,4.96817
4.96981,4.97514
4.97673,4.98163
4.98361,4.98831
4.99043,4.99467
4.99721,5.00177
5.00395,5.00813
5.01064,5.01511
5.01728,5.02173
5.02388,5.02793
5.03044,5.03413
5.03695,5.04033
5.04343,5.04744
5.04986,5.05347
5.05625,5.0602
5.0626,5.06644
5.0689,5.07296
5.07517,5.07924
5.0814,5.08528
5.0876,5.09133
5.09375,5.09748
5.09987,5.10358
5.10595,5.10936
5.11199,5.11532
5.11799,5.12125
5.12396,5.12725
5.1299,5.13346
5.1358,5.13977
5.14166,5.14642
5.14749,5.15199
5.15329,5.15784
5.15906,5.16337
5.16479,5.16875
5.17048,5.17436
5.17615,5.18005
5.18178,5.1863
5.18739,5.19254
5.19296,5.19845
5.1985,5.2032
5.20401,5.20916
5.20949,5.21483
5.21494,5.22011
5.22036,5.2249
5.22575,5.23035
5.23111,5.23519
5.23644,5.2406
5.24175,5.24611
5.24702,5.25205
5.25227,5.25714
5.2575,5.26213
5.26269,5.26809
5.26786,5.27271
5.273,5.27698
5.27811,5.28196
5.2832,5.28688
5.28827,5.29175
5.2933,5.29682
5.29832,5.30154
