x,y
-inf,-inf
0,0
0.693147,0.69214
1.09861,1.09636
1.38629,1.38232
1.60944,1.60795
1.79176,1.78825
1.94591,1.93869
2.07944,2.07289
2.19722,2.19301
2.30259,2.29936
2.3979,2.39387
2.48491,2.4814
2.56495,2.56294
2.63906,2.63947
2.70805,2.70668
2.77259,2.77163
2.83321,2.83304
2.89037,2.88987
2.94444,2.94645
2.99573,2.9972
3.04452,3.04613
3.09104,3.09389
3.13549,3.13969
3.17805,3.18121
3.21888,3.22254
3.2581,3.26184
3.29584,3.29861
3.3322,3.33377
3.3673,3.36882
3.4012,3.40407
3.43399,3.43626
3.46574,3.46935
3.49651,3.50038
3.52636,3.52964
3.55535,3.55799
3.58352,3.5861
3.61092,3.61332
3.63759,3.63996
3.66356,3.66564
3.68888,3.69056
3.71357,3.71526
3.73767,3.73942
3.7612,3.76247
3.78419,3.78407
3.80666,3.807
3.82864,3.8295
3.85015,3.85091
3.8712,3.87148
3.89182,3.89207
3.91202,3.91233
3.93183,3.93256
3.95124,3.9524
3.97029,3.9714
3.98898,3.99131
4.00733,4.00883
4.02535,4.02725
4.04305,4.04459
4.06044,4.0624
4.07754,4.07866
4.09434,4.09477
4.11087,4.11119
4.12713,4.12781
4.14313,4.14325
4.15888,4.15928
4.17439,4.17506
4.18965,4.18994
4.20469,4.20464
4.21951,4.21966
4.23411,4.23408
4.2485,4.24809
4.26268,4.26272
4.27667,4.27685
4.29046,4.29066
4.30407,4.30445
4.31749,4.31762
4.33073,4.33076
4.34381,4.34306
4.35671,4.35593
4.36945,4.36865
4.38203,4.3818
4.39445,4.39349
4.40672,4.40447
4.41884,4.41683
4.43082,4.42896
4.44265,4.44126
4.45435,4.45329
4.46591,4.46516
4.47734,4.47647
4.48864,4.48714
4.49981,4.49938
4.51086,4.51005
4.52179,4.52126
4.5326,4.53171
4.54329,4.54138
4.55388,4.55133
4.56435,4.56136
4.57471,4.57094
4.58497,4.58115
4.59512,4.59192
4.60517,4.60219
4.61512,4.61163
4.62497,4.62162
4.63473,4.63065
4.64439,4.64002
4.65396,4.64947
4.66344,4.65872
4.67283,4.66838
4.68213,4.67771
4.69135,4.68699
4.70048,4.69599
4.70953,4.70528
4.7185,4.71423
4.72739,4.72304
4.7362,4.73154
4.74493,4.74023
4.75359,4.74836
4.76217,4.75736
4.77068,4.76599
4.77912,4.77438
4.78749,4.78232
4.79579,4.79038
4.80402,4.7985
4.81218,4.80646
4.82028,4.81532
4.82831,4.82397
4.83628,4.83211
4.84419,4.83934
4.85203,4.84756
4.85981,4.85598
4.86753,4.86492
4.8752,4.87258
4.8828,4.88007
4.89035,4.88774
4.89784,4.89571
4.90527,4.90265
4.91265,4.91022
4.91998,4.91788
4.92725,4.92507
4.93447,4.93242
4.94164,4.93925
4.94876,4.9458
4.95583,4.95273
4.96284,4.95931
4.96981,4.96661
4.97673,4.97353
4.98361,4.98103
4.99043,4.98784
4.99721,4.99481
5.00395,5.00175
5.01064,5.00883
5.01728,5.01516
5.02388,5.02192
5.03044,5.02888
5.03695,5.03569
5.04343,5.04212
5.04986,5.04905
5.05625,5.05524
5.0626,5.0616
5.0689,5.06836
5.07517,5.07387
5.0814,5.08038
5.0876,5.08695
5.09375,5.09361
5.09987,5.09969
5.10595,5.10598
5.11199,5.11199
5.11799,5.11813
5.12396,5.12434
5.1299,5.13041
5.1358,5.1357
5.14166,5.14151
5.14749,5.14765
5.15329,5.15329
5.15906,5.15911
5.16479,5.16479
5.17048,5.17071
5.17615,5.17632
5.18178,5.18228
5.18739,5.1875
5.19296,5.19289
5.1985,5.19824
5.20401,5.20366
5.20949,5.20896
5.21494,5.21446
5.22036,5.22024
5.22575,5.22511
5.23111,5.23006
5.23644,5.23556
5.24175,5.24073
5.24702,5.24588
5.25227,5.25056
5.2575,5.25578
5.26269,5.26063
5.26786,5.26593
5.273,5.27086
5.27811,5.27542
5.2832,5.28028
5.28827,5.28552
5.2933,5.29047
5.29832,5.29529
