x,y
-inf,-inf
0,0
0.693147,0.974204
1.09861,1.57551
1.38629,1.97787
1.60944,2.31847
1.79176,2.53968
1.94591,2.78957
2.07944,2.98276
2.19722,3.12126
2.30259,3.30366
2.3979,3.4432
2.48491,3.57029
2.56495,3.67476
2.63906,3.80249
2.70805,3.90601
2.77259,4.00185
2.83321,4.07502
2.89037,4.15528
2.94444,4.23448
2.99573,4.31101
3.04452,4.40148
3.09104,4.46816
3.13549,4.53647
3.17805,4.59491
3.21888,4.64164
3.2581,4.68838
3.29584,4.74153
3.3322,4.8072
3.3673,4.8542
3.4012,4.89665
3.43399,4.95115
3.46574,5.00018
3.49651,5.04699
3.52636,5.09007
3.55535,5.15208
3.58352,5.18837
3.61092,5.22864
3.63759,5.26619
3.66356,5.31962
3.68888,5.35355
3.71357,5.43511
3.73767,5.43297
3.7612,5.42737
3.78419,5.46638
3.80666,5.51726
3.82864,5.53955
3.85015,5.58128
3.8712,5.56546
3.89182,5.62296
3.91202,5.68585
3.93183,5.69291
3.95124,5.69602
3.97029,5.74229
3.98898,5.7569
4.00733,5.79591
4.02535,5.83197
4.04305,5.86957
4.06044,5.87012
4.07754,5.91318
4.09434,5.92311
4.11087,5.95108
4.12713,5.98047
4.14313,6.0021
4.15888,6.04518
4.17439,6.07719
4.18965,6.13176
4.20469,6.1598
4.21951,6.18793
4.23411,6.18346
4.2485,6.24198
4.26268,6.24042
4.27667,6.28489
4.29046,6.29275
4.30407,6.29249
4.31749,6.31
4.33073,6.3226
4.34381,6.36733
4.35671,6.37216
4.36945,6.39318
4.38203,6.37818
4.39445,6.39563
4.40672,6.39889
4.41884,6.42983
4.43082,6.4194
4.44265,6.42421
4.45435,6.44416
4.46591,6.44263
4.47734,6.45791
4.48864,6.44982
4.49981,6.43573
4.51086,6.48081
4.52179,6.49338
4.5326,6.51634
4.54329,6.55789
4.55388,6.53088
4.56435,6.59002
4.57471,6.59118
4.58497,6.59032
4.59512,6.59954
4.60517,6.61547
4.61512,6.6243
4.62497,6.67292
4.63473,6.69685
4.64439,6.70463
4.65396,6.68953
4.66344,6.69531
4.67283,6.74407
4.68213,6.74415
4.69135,6.75088
4.70048,6.78882
4.70953,6.72662
4.7185,6.72044
4.72739,6.76397
4.7362,6.75553
4.74493,6.63283
4.75359,6.80926
4.76217,6.78518
4.77068,6.81511
4.77912,6.87085
4.78749,6.89243
4.79579,6.93323
4.80402,6.97844
4.81218,7.02229
4.82028,7.06109
4.82831,7.16527
4.83628,7.10965
4.84419,7.065
4.85203,7.07694
4.85981,7.07921
4.86753,7.04597
4.8752,7.02778
4.8828,7.11954
4.89035,7.07329
4.89784,7.0432
4.90527,7.13267
4.91265,7.0626
4.91998,7.09667
4.92725,7.12166
4.93447,7.15664
4.94164,7.18854
4.94876,7.19483
4.95583,7.17843
4.96284,7.16612
