x,y
-inf,-inf
0,0
0.693147,0.826547
1.09861,1.28386
1.38629,1.61569
1.60944,1.86453
1.79176,2.07159
1.94591,2.24302
2.07944,2.39308
2.19722,2.52283
2.30259,2.64024
2.3979,2.74506
2.48491,2.84136
2.56495,2.92913
2.63906,3.01094
2.70805,3.08667
2.77259,3.1576
2.83321,3.22437
2.89037,3.28756
2.94444,3.34678
2.99573,3.40302
3.04452,3.45605
3.09104,3.50686
3.13549,3.55527
3.17805,3.60198
3.21888,3.64643
3.2581,3.6896
3.29584,3.73074
3.3322,3.77054
3.3673,3.80859
3.4012,3.84547
3.43399,3.8805
3.46574,3.91554
3.49651,3.949
3.52636,3.98118
3.55535,4.01303
3.58352,4.04369
3.61092,4.07327
3.63759,4.10267
3.66356,4.13042
3.68888,4.15763
3.71357,4.18377
3.73767,4.20977
3.7612,4.23528
3.78419,4.26043
3.80666,4.2847
3.82864,4.30839
3.85015,4.33164
3.8712,4.35412
3.89182,4.37588
3.91202,4.39814
3.93183,4.41935
3.95124,4.43994
3.97029,4.46039
3.98898,4.48053
4.00733,4.5004
4.02535,4.52013
4.04305,4.53962
4.06044,4.55795
4.07754,4.57689
4.09434,4.59573
4.11087,4.61323
4.12713,4.63024
4.14313,4.6471
4.15888,4.66355
4.17439,4.68035
4.18965,4.69682
4.20469,4.71329
4.21951,4.72926
4.23411,4.74516
4.2485,4.76053
4.26268,4.77579
4.27667,4.79063
4.29046,4.80406
4.30407,4.81938
4.31749,4.8333
4.33073,4.84712
4.34381,4.8614
4.35671,4.87542
4.36945,4.88956
4.38203,4.90288
4.39445,4.91656
4.40672,4.92899
4.41884,4.9428
4.43082,4.95587
4.44265,4.96964
4.45435,4.98241
4.46591,4.99449
4.47734,5.00665
4.48864,5.0187
4.49981,5.03002
4.51086,5.04198
4.52179,5.05323
4.5326,5.0654
4.54329,5.07713
4.55388,5.08884
4.56435,5.09964
4.57471,5.11077
4.58497,5.12258
4.59512,5.13346
4.60517,5.14393
4.61512,5.15446
4.62497,5.16547
4.63473,5.17625
4.64439,5.1869
4.65396,5.19796
4.66344,5.2081
4.67283,5.21748
4.68213,5.22767
4.69135,5.23753
4.70048,5.24715
4.70953,5.25751
4.7185,5.26785
4.72739,5.27763
4.7362,5.28633
4.74493,5.29648
4.75359,5.30546
4.76217,5.31547
4.77068,5.32394
4.77912,5.3311
4.78749,5.34068
4.79579,5.34994
4.80402,5.35951
4.81218,5.36924
4.82028,5.37858
4.82831,5.38724
4.83628,5.3957
4.84419,5.40427
4.85203,5.41169
4.85981,5.4209
4.86753,5.42846
4.8752,5.43706
4.8828,5.447
4.89035,5.45764
4.89784,5.46476
4.90527,5.47471
4.91265,5.48242
4.91998,5.48934
4.92725,5.49735
4.93447,5.50595
4.94164,5.51333
4.94876,5.52238
4.95583,5.52863
4.96284,5.53534
4.96981,5.54372
4.97673,5.54867
4.98361,5.5543
4.99043,5.56169
4.99721,5.57014
5.00395,5.57809
5.01064,5.58532
5.01728,5.59083
5.02388,5.5983
5.03044,5.60436
5.03695,5.6098
5.04343,5.61355
5.04986,5.6224
5.05625,5.6279
5.0626,5.63625
5.0689,5.64519
5.07517,5.65175
5.0814,5.65886
5.0876,5.66467
5.09375,5.67043
5.09987,5.67491
5.10595,5.681
5.11199,5.6882
5.11799,5.69386
5.12396,5.69856
5.1299,5.70477
5.1358,5.7106
5.14166,5.71738
5.14749,5.72521
5.15329,5.73058
5.15906,5.73407
5.16479,5.74302
5.17048,5.74857
5.17615,5.75495
5.18178,5.75921
5.18739,5.76622
5.19296,5.77123
5.1985,5.77864
5.20401,5.78652
5.20949,5.78984
5.21494,5.79746
5.22036,5.80351
5.22575,5.80967
5.23111,5.81103
5.23644,5.81576
5.24175,5.82369
5.24702,5.83195
5.25227,5.83841
5.2575,5.84239
5.26269,5.84421
5.26786,5.84757
5.273,5.8524
5.27811,5.85895
5.2832,5.86458
5.28827,5.86554
5.2933,5.87262
5.29832,5.88501
