Iterating Model with dimension 2 and length 4
T,<H>/N,C,<|s|>
0.20000,-2.00000,0.00000,1.00000
0.25000,-2.00000,0.00000,1.00000
0.30000,-2.00000,0.00000,1.00000
0.35000,-2.00000,0.00000,1.00000
0.40000,-2.00000,0.00000,1.00000
0.45000,-2.00000,0.00001,1.00000
0.50000,-2.00000,0.00003,1.00000
0.55000,-2.00000,0.00010,1.00000
0.60000,-1.99999,0.00029,1.00000
0.65000,-1.99996,0.00069,0.99999
0.70000,-1.99991,0.00144,0.99998
0.75000,-1.99981,0.00271,0.99995
0.80000,-1.99963,0.00468,0.99991
0.85000,-1.99933,0.00755,0.99983
0.90000,-1.99886,0.01151,0.99971
0.95000,-1.99816,0.01674,0.99953
1.00000,-1.99716,0.02341,0.99927
1.05000,-1.99579,0.03168,0.99892
1.10000,-1.99396,0.04171,0.99844
1.15000,-1.99159,0.05361,0.99781
1.20000,-1.98857,0.06753,0.99701
1.25000,-1.98480,0.08359,0.99598
1.30000,-1.98017,0.10192,0.99471
1.35000,-1.97457,0.12264,0.99314
1.40000,-1.96786,0.14588,0.99123
1.45000,-1.95993,0.17176,0.98893
1.50000,-1.95064,0.20035,0.98617
1.55000,-1.93985,0.23172,0.98290
1.60000,-1.92742,0.26586,0.97904
1.65000,-1.91322,0.30270,0.97453
1.70000,-1.89711,0.34206,0.96929
1.75000,-1.87898,0.38365,0.96324
1.80000,-1.85872,0.42705,0.95633
1.85000,-1.83625,0.47168,0.94849
1.90000,-1.81154,0.51687,0.93966
1.95000,-1.78457,0.56178,0.92982
2.00000,-1.75538,0.60553,0.91894
2.05000,-1.72405,0.64718,0.90704
2.10000,-1.69071,0.68579,0.89413
2.15000,-1.65554,0.72048,0.88027
2.20000,-1.61874,0.75051,0.86553
2.25000,-1.58058,0.77526,0.85000
2.30000,-1.54131,0.79433,0.83380
2.35000,-1.50124,0.80750,0.81704
2.40000,-1.46066,0.81477,0.79985
2.45000,-1.41986,0.81633,0.78236
2.50000,-1.37912,0.81252,0.76471
2.55000,-1.33869,0.80381,0.74703
2.60000,-1.29881,0.79078,0.72942
2.65000,-1.25967,0.77404,0.71200
2.70000,-1.22145,0.75424,0.69485
2.75000,-1.18429,0.73200,0.67806
2.80000,-1.14828,0.70792,0.66169
2.85000,-1.11352,0.68254,0.64580
2.90000,-1.08004,0.65634,0.63042
2.95000,-1.04789,0.62976,0.61558
3.00000,-1.01707,0.60313,0.60129
3.05000,-0.98757,0.57677,0.58758
3.10000,-0.95938,0.55091,0.57443
3.15000,-0.93247,0.52572,0.56185
3.20000,-0.90680,0.50135,0.54982
3.25000,-0.88232,0.47789,0.53834
3.30000,-0.85899,0.45541,0.52738
3.35000,-0.83676,0.43395,0.51693
